"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>Standard Mall</h4>
<p>Använder <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> och alla adressfält (inklusive Anpassade Fält om några) kommer att vara tillgängliga</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Telefon: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}E-post: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
"<h4>Email Reply Example</h4>

<pre>Order Overdue

Transaction {{ name }} has exceeded Due Date. Please take necessary action.

Details

- Customer: {{ customer }}
- Amount: {{ grand_total }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>
","<h4>E-post Svar Exempel</h4>

<pre>Order Försenad

Transaktion {{ name }} har överskridit förfallodatum. Vänligen vidta nödvändiga åtgärder.

Detaljer

- Kund: {{ customer }}
- Belopp: {{ grand_total }}
</pre>

<h4>Hur hämtas fältnamn</h4>

<p>Fältnamn som kan använda i e-post mall är fält i dokument som du skickar e-post meddelande från. Ta reda på fält namn för alla dokument via Inställningar &gt; Anpassa formulär vy och välja dokument typ (t.ex. Försäljning Faktura)</p>

<h4>Mallar</h4>

<p>Mallar kompileras med Jinja Templating Language. För att lära dig mer om Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">läs denna dokumentation.</a></p>
",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Eller</h5>",
"<h5>Message Example</h5>

<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;

&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Details&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Customer: {{ doc.customer }}
&lt;li&gt;Amount: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>","<h5>Meddelande Exempel</h5>

<pre>&lt;h3&gt;Order Försenad&lt;/h3&gt;

&lt;p&gt;Transaktion {{ doc.name }} har överskridit förfallodatum. Vänligen vidta nödvändiga åtgärder.&lt;/p&gt;

&lt;!-- show last comment --&gt;
{% if comments %}
Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}
{% endif %}

&lt;h4&gt;Detaljer&lt;/h4&gt;

&lt;ul&gt;
&lt;li&gt;Kund: {{ doc.customer }}
&lt;li&gt;Belopp: {{ doc.grand_total }}
&lt;/ul&gt;
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>Exempel på Villkor:</strong></p><pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p><strong>Exempel på Villkor:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p>Flera webbformulär kan skapas för singel doctype. Lägg till filter specifika för detta webbformulär för att visa korrekt post efter godkännande.</p><p>For Exampel:</p>
<p>Om du skapar separat webbformulär varje år för att fånga återkoppling från anställda, lägg till 
 fält med år namn i doctype och lägg till filter <b>year = 2024</b></p>
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p>Ange sammanhang innan du renderar en mall. Exempel:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p>För att interagera med ovanstående HTML måste du använda `root_element` som en överordnad väljare.</p><p>För exampel:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""Ny innehåll"";
</code></pre>",
"<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ day of week (0 - 6) (0 is Sunday)
│  │  │  └───── month (1 - 12)
│  │  └────────── day of month (1 - 31)
│  └─────────────── hour (0 - 23)
└──────────────────── minute (0 - 59)

---

* - Any value
/ - Step values
</pre>
","<pre>*  *  *  *  *
┬  ┬  ┬  ┬  ┬
│  │  │  │  │
│  │  │  │  └ dag i veckan (0 - 6) (0 är Söndag)
│  │  │  └───── månad (1 - 12)
│  │  └────────── dag i månaden (1 - 31)
│  └─────────────── timme (0 - 23)
└──────────────────── minut (0 - 59)

---

* - Något Värde
/ - Steg Värde
</pre>
",
"<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>
<p>Allowed functions:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>

<p>Villkor ska skrivas i enkel Python. Använd endast egenskaper som finns tillgängliga i formulär.</p>
<p>Tillåtna funktioner:
</p><ul>
<li>frappe.db.get_value</li>
<li>frappe.db.get_list</li>
<li>frappe.session</li>
<li>frappe.utils.now_datetime</li>
<li>frappe.utils.get_datetime</li>
<li>frappe.utils.add_to_date</li>
<li>frappe.utils.now</li>
</ul>
<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>",
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Lista över resurser som Kund App kommer att ha tillgång till efter att Användare tillåter det. <br> t.ex. projekt,
A symbol for this currency. For e.g. $,Symbol för denna valuta. För t.ex. $,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,ALLT,
API,API,
API Access,API Åtkomst,
API Endpoint,API slutpunkt,
API Endpoint Args,API Slutpunkt Argument,
API Key,API-nyckel,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,API Nyckel och Hemlighet för att interagera med relä server. Dessa kommer att genereras automatiskt när första push meddelandet skickas från någon av appar som är installerade på webbplatsen.,
API Key cannot be regenerated,API Nyckel kan inte återskapas,
API Method,API Metod,
API Secret,API Hemlighet,
ASC,Stigande,
About,Om,
About Us Settings,Om Oss Inställningar,
About Us Team Member,Om Oss Lag Medlem,
Accepted,Godkända,
Access Control,Åtkomstkontroll,
Access Key ID,Åtkomst Nyckel ID,
Access Key Secret,Åtkomst Nyckel Hemlighet,
Access Log,Åtkomst Logg,
Access Token,Tillträde token,
Access Token URL,Åtkomst Token URL,
Account,konto,
Account Deletion Settings,Konto Borttagning Inställningar,
Accounts Manager,Account Manager,
Accounts User,Användare,
Action,Åtgärd,
Action / Route,Åtgärd / Sökväg,
Action Label,Åtgärd Titel,
Action Timeout (Seconds),Åtgärd Tidsgräns (Sekunder),
Action Type,Åtgärd Typ,
Actions,Åtgärder,
Activate,Aktivera,
Active,Aktiv,
Active Directory,Active Directory,
Active Domains,Aktiva Domäner,
Active Sessions,Aktiva Sessioner,
Activity Log,Aktivitet Logg,
Add Background Image,Lägg Till Bakgrund Bild,
Add Border at Bottom,Lägg till Kant Längst Ner,
Add Border at Top,Lägg till Kant Längst Upp,
Add Container,Lägg till Behållare,
Add Custom Tags,Lägg till Anpassade Taggar,
Add Gray Background,Lägg till Grå Bakgrund,
Add Query Parameters,Lägg till Fråge Parametrar,
Add Signature,Lägg till Signatur,
Add Space at Bottom,Lägg till Utrymme Längst Ner,
Add Space at Top,Lägg till Utrymme Längst Upp,
Add Total Row,Lägg till Totalt Antal Rader,
Add Translate Data,Lägg till Översätt Data,
Add Unsubscribe Link,Lägg till Avregistrering Länk,
Add Video Conferencing,Lägg till Videokonferens,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Tillagd HTML i sektion 'head' på webbsida, i första hand används för hemsida verifiering och SEO",
Additional Permissions,Extra Behörigheter,
Address,Adress,
Address And Contacts,Adress & Kontakter,
Address Line 1,Adress Linje 1,
Address Line 2,Adress Linje 2,
Address Template,Adress Mall,
Address Title,Adress Titel,
Address Type,Adresstyp,
Address and other legal information you may want to put in the footer.,Adress och annan juridisk information som kan anges i Sidfot.,
Addresses And Contacts,Adresser och Kontakter,
Adds a custom client script to a DocType,Lägger till anpassad klient skript till DocType,
Adds a custom field to a DocType,Lägger till anpassad fält till DocType,
Administrator,Administratör,
Advanced,Avancerad,
Advanced Control,Avancerad Kontroll,
Advanced Settings,Avancerade inställningar,
After Cancel,Efter Annullering,
After Delete,Efter Radering,
After Insert,Efter Infoga,
After Rename,Efter Ändra Namn,
After Save,Efter Spara,
After Save (Submitted Document),Efter Spara (Godkänd Dokument),
After Submission,Efter Godkännande,
After Submit,Efter Godkännande,
Aggregate Function Based On,Aggregerad Funktion baserad på,
Alert,Varna,
Align,Justera,
Align Labels to the Right,Justera Etiketter till Höger,
Align Right,Justera till Höger,
All,Allt,
All Day,Hela Dagen,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alla möjliga Arbetsflöde Tillstånd och roller för arbetsflöde. Tillstånd Alternativ: 0 är ""Sparad"", 1 är ""Godkänd"" och 2 är  ""Annullerad""",
Allocated To,Tilldelad Till,
Allot Points To Assigned Users,Tilldela poäng till Tilldelade Användare,
Allow,Tillåt,
Allow Auto Repeat,Tillåt Återkommande,
Allow Bulk Edit,Tillåt Mass Redigering,
Allow Bulk Editing,Tillåt Massredigering,
Allow Comments,Tillåt Kommentarer,
Allow Consecutive Login Attempts ,Antal Tillåtna Inloggning Försök i Följd ,
Allow Delete,Tillåt Radera,
Allow Dropbox Access,Auktorisera Dropbox Åtkomst,
Allow Editing After Submit,Tillåt Redigera Efter Godkänd,
Allow Guest,Tillåt Gäst,
Allow Guest to View,Tillåt Gäst att Visa,
Allow Guest to comment,Tillåt Gäst att Kommentera,
Allow Guests to Upload Files,Tillåt Gäster Ladda upp Filer,
Allow Import (via Data Import Tool),Tillåt Import (via Data Import Verktyg),
Allow Incomplete Forms,Tillåt Ofullständiga Formulär,
Allow Login After Fail,Tillåt Inloggning efter Misslyckande,
Allow Login using Mobile Number,Tillåt Inloggning med Mobil Nummer,
Allow Login using User Name,Tillåt Inloggning med Användarnamn,
Allow Modules,Tillåt Moduler,
Allow Multiple Responses,Tillåt Flera Svar,
Allow Older Web View Links (Insecure),Tillåt Äldre Webbvy Länkar (Osäkra),
Allow Print,Tillåt Utskrift,
Allow Print for Cancelled,Tillåt Utskrift för Annullerad,
Allow Print for Draft,Tillåt Utskrift för Utkast,
Allow Read On All Link Options,Tillåt Läsning på alla Länk Alternativ,
Allow Rename,Tillåt Ändra Namn,
Allow Roles,Tillåt Roller,
Allow Self Approval,Tillåt Självgodkännande,
Allow Sending Usage Data for Improving Applications,Skicka Användning Data för att förbättra Applikationer,
Allow approval for creator of the document,Tillåt att dokument godkänns av ägare,
Allow document creation via Email,Tillåt att dokument skapas via E-post,
"Allow editing even if the doctype has a workflow set up.

Does nothing if a workflow isn't set up.","Tillåt redigering även om doctype har arbetsflöde angiven.

Gör ingenting om ett arbetsflöde inte är angiven.",
Allow events in timeline,Tillåt Händelser i Tidslinje,
Allow in Quick Entry,Tillåt i Snabb Post,
Allow on Submit,Tillåt på Godkänn,
Allow only one session per user,Tillåt endast en session per användare,
Allow page break inside tables,Tillåt sidbrytning i tabeller,
Allow saving if mandatory fields are not filled,Tillåt spara även om erfodrade fält ej fylls i,
Allow user to login only after this hour (0-24),Tillåt användare att logga in först efter denna tid (0-24),
Allow user to login only before this hour (0-24),Tillåt användare att logga in endast innan denna tid (0-24),
"Allow users to log in without a password, using a login link sent to their email",Tillåt användare att logga in utan lösenord med en inloggning länk som skickas till deras E-post,
Allowed,Tillåten,
Allowed File Extensions,Tillåtna Filtyper,
Allowed In Mentions,Tillåt i Hänvisningar,
Allowed Modules,Tillåtna Moduler,
Allowed Roles,Tillåtna Roller,
Allowed embedding domains,Tillåtna inbäddning av domäner,
Alternative Email ID,Alternativ E-post,
"Always add ""Draft"" Heading for printing draft documents",'Utkast' Rubrik för Utkast Dokument,
Always use this email address as sender address,Använd alltid denna E-post som Avsändare Adress,
Always use this name as sender name,Använd alltid detta Namn som Avsändarens Namn,
Amend,Ändra,
Amend Counter,Ändra Nummer Serie Sekvens,
Amended Document Naming Settings,Ändrade Dokument Namn Inställningar,
Amended Documents,Ändrade Dokument,
Amended From,Ändrat Från,
Amendment Naming Override,Ändring Nummer Serie Åsidosättande ,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Ikon fil med ico ändelse. Ska vara 16 x 16 px. Skapas med användning av favicon generator. [favicon-generator.org],
Analytics,Analyser,
Announcement Widget,Meddelande Widget,
Announcements,Meddelanden,
Annual,Årlig,
Anonymization Matrix,Anonymisering Matris,
Anonymous responses,Anonyma svar,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Alla strängbaserade skrivarspråk kan användas. Att skriva rå kommando kräver kunskap om skrivarens skrivarspråk som tillhandahålls av tillverkare. Se utvecklarhandbok som tillhandahålls av tillverkare om hur man skriver deras ursprungliga kommando. Dessa kommando återges på serversidan med hjälp av Jinja Templating Language.,
App,App,
App Access Key,Åtkomst Nyckel,
App Client ID,App Klient ID,
App Client Secret,App Klient Hemlighet,
App ID,App ID,
App Logo,App Logotyp ,
App Name,App Namn,
App Secret Key,Hemliget,
Append Emails to Sent Folder,Lägg E-post meddelande till Skickad Mapp,
Append To,E-post Till,
"Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.","Lägg till som e-post mot denna DocType (måste ha fält: ""Avsändare"" och ""Ämne""). Dessa fält kan definieras i sektion e-pos tinställningar i bifogad doctype.",
Applicable For,Tillämplig för,
Application Logo,Applikation Logo,
Application Name,Applikation Namn,
Application Version,Applikation Version,
Applied On,Tillämpad På,
Apply Document Permissions,Tillämpa Dokument Behörigheter,
Apply Only Once,Tillämpa Endast En Gång,
Apply Strict User Permissions,Tillämpa Strikta Användar Behörigheter,
Apply To,Tillämpa På,
Apply To All Document Types,Tillämpa på Alla Dokument Typer,
Apply User Permission On,Tillämpa Användar Behörighet på,
Apply this rule if the User is the Owner,Tillämpa denna regel om Användaren är Ansvarig,
Apply this rule only once per document,Tillämpa denna regel endast en gång per Dokument,
Appreciation,Uppskattning,
Apps,Appar,
Archived,Arkiverad,
Arguments,Argument,
Arial,Arial,
Assign Condition,Tilldela Villkor,
Assign To Users,Tilldela till Användare,
Assigned,Tilldelad,
Assigned By,Tilldelad Av,
Assigned By Full Name,Tilldelad Av Fullständig Namn,
Assignment,Tilldelning,
Assignment Completed,Uppgift Klar,
Assignment Days,Uppgift Dagar,
Assignment Rule,Tilldelning Regel,
Assignment Rule Day,Tilldelning Regel Dag,
Assignment Rule User,Tilldelning Regel Användare,
Assignment Rules,Tilldelning Regler,
Assignments,Uppgifter,
Attach,Bifoga,
Attach Image,Bifoga Bild,
Attach Package,Lägg till App,
Attach Print,Bifoga Utskrift,
Attached File,Bifogad Fil,
